Day,Start,End,Work unit description,Duration,Task,Month,Year,Weekday,Task Category
2022-01-31,9:48 PM,10:48 PM,背单词,60,Application Exam Prepare,2022-01,2022,Monday,Application
2022-02-01,10:48 AM,12:11 PM,,83,Data Science & Programming,2022-02,2022,Tuesday,Data Science & Programming
2022-02-01,12:23 PM,1:23 PM,,60,Data Science & Programming,2022-02,2022,Tuesday,Data Science & Programming
2022-02-01,3:41 PM,6:13 PM,,152,Application Exam Prepare,2022-02,2022,Tuesday,Application
2022-02-02,11:23 AM,1:03 PM,模考,100,Application Exam Prepare,2022-02,2022,Wednesday,Application
2022-02-02,1:38 PM,2:16 PM,,37,Application Exam Prepare,2022-02,2022,Wednesday,Application
2022-02-02,7:07 PM,8:16 PM,,69,Read Books,2022-02,2022,Wednesday,Personal Growth
2022-02-02,8:16 PM,8:49 PM,,33,Data Science & Programming,2022-02,2022,Wednesday,Data Science & Programming
2022-02-03,12:24 PM,2:06 PM,,102,Data Science & Programming,2022-02,2022,Thursday,Data Science & Programming
2022-02-03,2:41 PM,4:19 PM,,97,Application Exam Prepare,2022-02,2022,Thursday,Application
2022-02-03,9:35 PM,11:11 PM,,97,Application Exam Prepare,2022-02,2022,Thursday,Application
2022-02-04,12:18 AM,1:13 AM,,56,Thesis,2022-02,2022,Friday,Research
2022-02-04,10:40 AM,11:35 AM,urban analytics,55,Read Books,2022-02,2022,Friday,Personal Growth
2022-02-04,1:04 PM,2:39 PM,,95,Data Science & Programming,2022-02,2022,Friday,Data Science & Programming
2022-02-04,2:39 PM,3:18 PM,,39,Application Exam Prepare,2022-02,2022,Friday,Application
2022-02-04,3:21 PM,4:00 PM,,39,Application Exam Prepare,2022-02,2022,Friday,Application
2022-02-04,4:55 PM,6:01 PM,,66,Application Exam Prepare,2022-02,2022,Friday,Application
2022-02-04,7:50 PM,8:50 PM,,59,Application Exam Prepare,2022-02,2022,Friday,Application
2022-02-05,3:46 PM,4:46 PM,,60,Application Exam Prepare,2022-02,2022,Saturday,Application
2022-02-05,8:45 PM,10:15 PM,,90,Application Exam Prepare,2022-02,2022,Saturday,Application
2022-02-07,1:18 PM,2:28 PM,,70,Application Exam Prepare,2022-02,2022,Monday,Application
2022-02-07,2:28 PM,4:18 PM,,110,Data Science & Programming,2022-02,2022,Monday,Data Science & Programming
2022-02-07,4:54 PM,5:56 PM,,63,Application Exam Prepare,2022-02,2022,Monday,Application
2022-02-07,9:00 PM,11:03 PM,,123,Application Exam Prepare,2022-02,2022,Monday,Application
2022-02-07,11:13 PM,11:29 PM,,16,Application Exam Prepare,2022-02,2022,Monday,Application
2022-02-08,8:15 AM,8:35 AM,,20,Application Exam Prepare,2022-02,2022,Tuesday,Application
2022-02-08,11:00 AM,12:21 PM,,81,Application Exam Prepare,2022-02,2022,Tuesday,Application
2022-02-08,12:21 PM,1:26 PM,,65,Application Exam Prepare,2022-02,2022,Tuesday,Application
2022-02-16,11:00 AM,12:13 PM,,73,Data Science & Programming,2022-02,2022,Wednesday,Data Science & Programming
